Namespace(D_lr=0.0002, G_lr=0.0002, batch_size=64, crop_size=64, data_path='/home/cvpr19/scottreed/DATA/CUB_EMBEDDING/birds', eval_step=700, image_path='/home/cvpr19/scottreed/DATA/CUB_200_2011/images', image_size=64, log_step=20, loss_type='BCEwL', lr_decay=0.5, lr_decay_after=14000, lr_update_step=14000, main_path='txt2img', max_epoch=600, mode='train', momentum=0.5, num_workers=4, save_step=7000, z_dim=100)
Change CPU mode to GPU mode...
Creating models are success...
Start training...
Elapsed [0:00:03], Iter [20/83400], Epoch [0/600], Dataset [1280/8855], D/rw_loss [0.4670], D/fr_loss [0.3700], D/d_loss [1.8651], D/rr_loss [1.0281], G/g_loss [2.0238]
Elapsed [0:00:06], Iter [40/83400], Epoch [0/600], Dataset [2560/8855], D/rw_loss [0.5486], D/fr_loss [0.2572], D/d_loss [1.6939], D/rr_loss [0.8881], G/g_loss [2.8957]
Elapsed [0:00:09], Iter [60/83400], Epoch [0/600], Dataset [3840/8855], D/rw_loss [0.6869], D/fr_loss [0.0867], D/d_loss [1.5024], D/rr_loss [0.7288], G/g_loss [3.6023]
Elapsed [0:00:11], Iter [80/83400], Epoch [0/600], Dataset [5120/8855], D/rw_loss [0.6990], D/fr_loss [0.0960], D/d_loss [1.5495], D/rr_loss [0.7545], G/g_loss [3.2809]
Elapsed [0:00:14], Iter [100/83400], Epoch [0/600], Dataset [6400/8855], D/rw_loss [0.5604], D/fr_loss [0.2258], D/d_loss [1.6756], D/rr_loss [0.8894], G/g_loss [2.6247]
Elapsed [0:00:17], Iter [120/83400], Epoch [0/600], Dataset [7680/8855], D/rw_loss [0.3345], D/fr_loss [0.2273], D/d_loss [1.8879], D/rr_loss [1.3261], G/g_loss [1.5860]
Elapsed [0:00:20], Iter [140/83400], Epoch [1/600], Dataset [64/8855], D/rw_loss [0.5299], D/fr_loss [0.3244], D/d_loss [1.8084], D/rr_loss [0.9541], G/g_loss [2.7685]
Elapsed [0:00:23], Iter [160/83400], Epoch [1/600], Dataset [1344/8855], D/rw_loss [0.5172], D/fr_loss [0.1468], D/d_loss [1.6218], D/rr_loss [0.9579], G/g_loss [2.6184]
Elapsed [0:00:26], Iter [180/83400], Epoch [1/600], Dataset [2624/8855], D/rw_loss [0.5375], D/fr_loss [0.2158], D/d_loss [1.7183], D/rr_loss [0.9651], G/g_loss [2.4995]
Elapsed [0:00:29], Iter [200/83400], Epoch [1/600], Dataset [3904/8855], D/rw_loss [0.5751], D/fr_loss [0.2476], D/d_loss [1.7078], D/rr_loss [0.8850], G/g_loss [2.5392]
Elapsed [0:00:32], Iter [220/83400], Epoch [1/600], Dataset [5184/8855], D/rw_loss [0.4196], D/fr_loss [0.1594], D/d_loss [1.7016], D/rr_loss [1.1226], G/g_loss [2.1693]
Elapsed [0:00:34], Iter [240/83400], Epoch [1/600], Dataset [6464/8855], D/rw_loss [0.5610], D/fr_loss [0.1591], D/d_loss [1.6087], D/rr_loss [0.8886], G/g_loss [2.5628]
Elapsed [0:00:37], Iter [260/83400], Epoch [1/600], Dataset [7744/8855], D/rw_loss [0.5134], D/fr_loss [0.2402], D/d_loss [1.7839], D/rr_loss [1.0303], G/g_loss [2.5167]
Elapsed [0:00:41], Iter [280/83400], Epoch [2/600], Dataset [128/8855], D/rw_loss [0.4784], D/fr_loss [0.1723], D/d_loss [1.7047], D/rr_loss [1.0540], G/g_loss [2.5211]
Elapsed [0:00:44], Iter [300/83400], Epoch [2/600], Dataset [1408/8855], D/rw_loss [0.4591], D/fr_loss [0.1709], D/d_loss [1.7049], D/rr_loss [1.0749], G/g_loss [2.3357]
Elapsed [0:00:47], Iter [320/83400], Epoch [2/600], Dataset [2688/8855], D/rw_loss [0.4402], D/fr_loss [0.1357], D/d_loss [1.6670], D/rr_loss [1.0911], G/g_loss [2.4408]
Elapsed [0:00:49], Iter [340/83400], Epoch [2/600], Dataset [3968/8855], D/rw_loss [0.7762], D/fr_loss [0.2517], D/d_loss [1.6875], D/rr_loss [0.6595], G/g_loss [2.9079]
Elapsed [0:00:52], Iter [360/83400], Epoch [2/600], Dataset [5248/8855], D/rw_loss [0.4101], D/fr_loss [0.0848], D/d_loss [1.6586], D/rr_loss [1.1637], G/g_loss [2.7163]
Elapsed [0:00:55], Iter [380/83400], Epoch [2/600], Dataset [6528/8855], D/rw_loss [0.3127], D/fr_loss [0.0952], D/d_loss [1.7976], D/rr_loss [1.3898], G/g_loss [2.3664]
Elapsed [0:00:58], Iter [400/83400], Epoch [2/600], Dataset [7808/8855], D/rw_loss [0.7425], D/fr_loss [0.2789], D/d_loss [1.7122], D/rr_loss [0.6907], G/g_loss [3.2237]
Elapsed [0:01:01], Iter [420/83400], Epoch [3/600], Dataset [192/8855], D/rw_loss [0.4232], D/fr_loss [0.1488], D/d_loss [1.7239], D/rr_loss [1.1520], G/g_loss [2.4777]
Elapsed [0:01:04], Iter [440/83400], Epoch [3/600], Dataset [1472/8855], D/rw_loss [0.5061], D/fr_loss [0.1772], D/d_loss [1.6512], D/rr_loss [0.9679], G/g_loss [2.2616]
Elapsed [0:01:07], Iter [460/83400], Epoch [3/600], Dataset [2752/8855], D/rw_loss [0.6974], D/fr_loss [0.3408], D/d_loss [1.7742], D/rr_loss [0.7361], G/g_loss [2.9297]
Elapsed [0:01:10], Iter [480/83400], Epoch [3/600], Dataset [4032/8855], D/rw_loss [0.5442], D/fr_loss [0.2548], D/d_loss [1.7224], D/rr_loss [0.9234], G/g_loss [2.3410]
Elapsed [0:01:13], Iter [500/83400], Epoch [3/600], Dataset [5312/8855], D/rw_loss [0.6330], D/fr_loss [0.3313], D/d_loss [1.7631], D/rr_loss [0.7989], G/g_loss [2.8850]
Elapsed [0:01:15], Iter [520/83400], Epoch [3/600], Dataset [6592/8855], D/rw_loss [0.5727], D/fr_loss [0.2111], D/d_loss [1.6627], D/rr_loss [0.8790], G/g_loss [2.9299]
Elapsed [0:01:18], Iter [540/83400], Epoch [3/600], Dataset [7872/8855], D/rw_loss [0.4206], D/fr_loss [0.1735], D/d_loss [1.7326], D/rr_loss [1.1385], G/g_loss [2.1036]
Elapsed [0:01:22], Iter [560/83400], Epoch [4/600], Dataset [256/8855], D/rw_loss [0.3246], D/fr_loss [0.1802], D/d_loss [1.8633], D/rr_loss [1.3584], G/g_loss [1.5528]
Elapsed [0:01:24], Iter [580/83400], Epoch [4/600], Dataset [1536/8855], D/rw_loss [0.5691], D/fr_loss [0.1595], D/d_loss [1.6225], D/rr_loss [0.8940], G/g_loss [2.7299]
Elapsed [0:01:27], Iter [600/83400], Epoch [4/600], Dataset [2816/8855], D/rw_loss [0.4894], D/fr_loss [0.2464], D/d_loss [1.7239], D/rr_loss [0.9881], G/g_loss [2.3495]
Elapsed [0:01:30], Iter [620/83400], Epoch [4/600], Dataset [4096/8855], D/rw_loss [0.7659], D/fr_loss [0.3495], D/d_loss [1.8128], D/rr_loss [0.6973], G/g_loss [2.8829]
Elapsed [0:01:33], Iter [640/83400], Epoch [4/600], Dataset [5376/8855], D/rw_loss [0.4344], D/fr_loss [0.1966], D/d_loss [1.7105], D/rr_loss [1.0795], G/g_loss [2.2662]
Elapsed [0:01:35], Iter [660/83400], Epoch [4/600], Dataset [6656/8855], D/rw_loss [0.5593], D/fr_loss [0.2295], D/d_loss [1.6868], D/rr_loss [0.8980], G/g_loss [2.3924]
Elapsed [0:01:38], Iter [680/83400], Epoch [4/600], Dataset [7936/8855], D/rw_loss [0.4744], D/fr_loss [0.1271], D/d_loss [1.6922], D/rr_loss [1.0907], G/g_loss [2.7887]
Elapsed [0:01:41], Iter [700/83400], Epoch [5/600], Dataset [320/8855], D/rw_loss [0.3588], D/fr_loss [0.1452], D/d_loss [1.7552], D/rr_loss [1.2512], G/g_loss [1.8748]
Save generated sample results 700iter.jpg into txt2img/samples...
Elapsed [0:01:44], Iter [720/83400], Epoch [5/600], Dataset [1600/8855], D/rw_loss [0.3385], D/fr_loss [0.1292], D/d_loss [1.7757], D/rr_loss [1.3080], G/g_loss [2.2540]
Elapsed [0:01:47], Iter [740/83400], Epoch [5/600], Dataset [2880/8855], D/rw_loss [0.4391], D/fr_loss [0.1922], D/d_loss [1.7365], D/rr_loss [1.1052], G/g_loss [2.2003]
Elapsed [0:01:50], Iter [760/83400], Epoch [5/600], Dataset [4160/8855], D/rw_loss [0.4825], D/fr_loss [0.1945], D/d_loss [1.7238], D/rr_loss [1.0468], G/g_loss [2.2593]
Elapsed [0:01:53], Iter [780/83400], Epoch [5/600], Dataset [5440/8855], D/rw_loss [0.6606], D/fr_loss [0.2591], D/d_loss [1.6923], D/rr_loss [0.7725], G/g_loss [2.8731]
Elapsed [0:01:56], Iter [800/83400], Epoch [5/600], Dataset [6720/8855], D/rw_loss [0.6168], D/fr_loss [0.2848], D/d_loss [1.7634], D/rr_loss [0.8618], G/g_loss [2.9146]
Elapsed [0:01:59], Iter [820/83400], Epoch [5/600], Dataset [8000/8855], D/rw_loss [0.4721], D/fr_loss [0.2141], D/d_loss [1.7177], D/rr_loss [1.0315], G/g_loss [2.2615]
Elapsed [0:02:03], Iter [840/83400], Epoch [6/600], Dataset [384/8855], D/rw_loss [0.2893], D/fr_loss [0.1181], D/d_loss [1.8768], D/rr_loss [1.4695], G/g_loss [2.1604]
Elapsed [0:02:05], Iter [860/83400], Epoch [6/600], Dataset [1664/8855], D/rw_loss [0.7723], D/fr_loss [0.3898], D/d_loss [1.8306], D/rr_loss [0.6685], G/g_loss [3.2935]
Elapsed [0:02:08], Iter [880/83400], Epoch [6/600], Dataset [2944/8855], D/rw_loss [0.7073], D/fr_loss [0.3693], D/d_loss [1.8114], D/rr_loss [0.7348], G/g_loss [3.0602]
Elapsed [0:02:11], Iter [900/83400], Epoch [6/600], Dataset [4224/8855], D/rw_loss [0.3755], D/fr_loss [0.1420], D/d_loss [1.7405], D/rr_loss [1.2230], G/g_loss [2.0100]
Elapsed [0:02:13], Iter [920/83400], Epoch [6/600], Dataset [5504/8855], D/rw_loss [0.6237], D/fr_loss [0.2170], D/d_loss [1.6680], D/rr_loss [0.8273], G/g_loss [2.9173]
Elapsed [0:02:16], Iter [940/83400], Epoch [6/600], Dataset [6784/8855], D/rw_loss [0.4358], D/fr_loss [0.2233], D/d_loss [1.7901], D/rr_loss [1.1310], G/g_loss [2.2184]
Elapsed [0:02:19], Iter [960/83400], Epoch [6/600], Dataset [8064/8855], D/rw_loss [0.5096], D/fr_loss [0.2388], D/d_loss [1.7322], D/rr_loss [0.9838], G/g_loss [2.0956]
Elapsed [0:02:23], Iter [980/83400], Epoch [7/600], Dataset [448/8855], D/rw_loss [0.4163], D/fr_loss [0.0834], D/d_loss [1.7053], D/rr_loss [1.2056], G/g_loss [2.5306]
Elapsed [0:02:26], Iter [1000/83400], Epoch [7/600], Dataset [1728/8855], D/rw_loss [0.4180], D/fr_loss [0.1744], D/d_loss [1.7317], D/rr_loss [1.1393], G/g_loss [2.0802]
Elapsed [0:02:29], Iter [1020/83400], Epoch [7/600], Dataset [3008/8855], D/rw_loss [0.4580], D/fr_loss [0.1690], D/d_loss [1.6824], D/rr_loss [1.0554], G/g_loss [2.1830]
Elapsed [0:02:32], Iter [1040/83400], Epoch [7/600], Dataset [4288/8855], D/rw_loss [0.6964], D/fr_loss [0.3276], D/d_loss [1.7530], D/rr_loss [0.7290], G/g_loss [3.1015]
Elapsed [0:02:34], Iter [1060/83400], Epoch [7/600], Dataset [5568/8855], D/rw_loss [0.5508], D/fr_loss [0.3181], D/d_loss [1.7780], D/rr_loss [0.9091], G/g_loss [2.4774]
Elapsed [0:02:37], Iter [1080/83400], Epoch [7/600], Dataset [6848/8855], D/rw_loss [0.8450], D/fr_loss [0.3505], D/d_loss [1.7830], D/rr_loss [0.5875], G/g_loss [3.4390]
Elapsed [0:02:40], Iter [1100/83400], Epoch [7/600], Dataset [8128/8855], D/rw_loss [0.7492], D/fr_loss [0.2395], D/d_loss [1.6984], D/rr_loss [0.7098], G/g_loss [3.0704]
Elapsed [0:02:43], Iter [1120/83400], Epoch [8/600], Dataset [512/8855], D/rw_loss [0.2198], D/fr_loss [0.0672], D/d_loss [2.0116], D/rr_loss [1.7246], G/g_loss [1.6233]
Elapsed [0:02:46], Iter [1140/83400], Epoch [8/600], Dataset [1792/8855], D/rw_loss [0.5243], D/fr_loss [0.2168], D/d_loss [1.6816], D/rr_loss [0.9405], G/g_loss [2.5840]
Elapsed [0:02:49], Iter [1160/83400], Epoch [8/600], Dataset [3072/8855], D/rw_loss [0.4804], D/fr_loss [0.1838], D/d_loss [1.7193], D/rr_loss [1.0551], G/g_loss [2.0013]
Elapsed [0:02:52], Iter [1180/83400], Epoch [8/600], Dataset [4352/8855], D/rw_loss [0.6590], D/fr_loss [0.2992], D/d_loss [1.7394], D/rr_loss [0.7812], G/g_loss [2.7514]
Elapsed [0:02:55], Iter [1200/83400], Epoch [8/600], Dataset [5632/8855], D/rw_loss [0.7349], D/fr_loss [0.2394], D/d_loss [1.6781], D/rr_loss [0.7038], G/g_loss [2.8635]
Elapsed [0:02:57], Iter [1220/83400], Epoch [8/600], Dataset [6912/8855], D/rw_loss [0.3299], D/fr_loss [0.0983], D/d_loss [1.7629], D/rr_loss [1.3347], G/g_loss [2.2355]
Elapsed [0:03:00], Iter [1240/83400], Epoch [8/600], Dataset [8192/8855], D/rw_loss [0.6803], D/fr_loss [0.1874], D/d_loss [1.6382], D/rr_loss [0.7704], G/g_loss [2.8430]
Elapsed [0:03:03], Iter [1260/83400], Epoch [9/600], Dataset [576/8855], D/rw_loss [0.4016], D/fr_loss [0.1614], D/d_loss [1.7274], D/rr_loss [1.1644], G/g_loss [2.3771]
Elapsed [0:03:06], Iter [1280/83400], Epoch [9/600], Dataset [1856/8855], D/rw_loss [0.6752], D/fr_loss [0.2667], D/d_loss [1.7026], D/rr_loss [0.7608], G/g_loss [3.1380]
Elapsed [0:03:09], Iter [1300/83400], Epoch [9/600], Dataset [3136/8855], D/rw_loss [0.5071], D/fr_loss [0.2036], D/d_loss [1.7457], D/rr_loss [1.0350], G/g_loss [2.3401]
Elapsed [0:03:12], Iter [1320/83400], Epoch [9/600], Dataset [4416/8855], D/rw_loss [0.4555], D/fr_loss [0.1153], D/d_loss [1.6415], D/rr_loss [1.0707], G/g_loss [2.6580]
Elapsed [0:03:15], Iter [1340/83400], Epoch [9/600], Dataset [5696/8855], D/rw_loss [0.6818], D/fr_loss [0.2793], D/d_loss [1.7363], D/rr_loss [0.7752], G/g_loss [2.5019]
Elapsed [0:03:18], Iter [1360/83400], Epoch [9/600], Dataset [6976/8855], D/rw_loss [0.5609], D/fr_loss [0.2013], D/d_loss [1.6683], D/rr_loss [0.9060], G/g_loss [2.5518]
Elapsed [0:03:21], Iter [1380/83400], Epoch [9/600], Dataset [8256/8855], D/rw_loss [0.6766], D/fr_loss [0.3362], D/d_loss [1.7724], D/rr_loss [0.7596], G/g_loss [3.2282]
Elapsed [0:03:25], Iter [1400/83400], Epoch [10/600], Dataset [640/8855], D/rw_loss [0.6465], D/fr_loss [0.2262], D/d_loss [1.6772], D/rr_loss [0.8045], G/g_loss [2.4495]
Save generated sample results 1400iter.jpg into txt2img/samples...
Elapsed [0:03:27], Iter [1420/83400], Epoch [10/600], Dataset [1920/8855], D/rw_loss [0.3865], D/fr_loss [0.1245], D/d_loss [1.7159], D/rr_loss [1.2049], G/g_loss [2.2251]
Elapsed [0:03:30], Iter [1440/83400], Epoch [10/600], Dataset [3200/8855], D/rw_loss [0.2911], D/fr_loss [0.0643], D/d_loss [1.8107], D/rr_loss [1.4553], G/g_loss [2.3339]
Elapsed [0:03:33], Iter [1460/83400], Epoch [10/600], Dataset [4480/8855], D/rw_loss [0.6430], D/fr_loss [0.1652], D/d_loss [1.6314], D/rr_loss [0.8232], G/g_loss [3.0477]
Elapsed [0:03:36], Iter [1480/83400], Epoch [10/600], Dataset [5760/8855], D/rw_loss [0.3871], D/fr_loss [0.1196], D/d_loss [1.7139], D/rr_loss [1.2072], G/g_loss [2.1517]
Elapsed [0:03:39], Iter [1500/83400], Epoch [10/600], Dataset [7040/8855], D/rw_loss [0.6334], D/fr_loss [0.1768], D/d_loss [1.6060], D/rr_loss [0.7958], G/g_loss [3.3540]
Elapsed [0:03:42], Iter [1520/83400], Epoch [10/600], Dataset [8320/8855], D/rw_loss [0.5354], D/fr_loss [0.1852], D/d_loss [1.6626], D/rr_loss [0.9420], G/g_loss [2.4833]
Elapsed [0:03:45], Iter [1540/83400], Epoch [11/600], Dataset [704/8855], D/rw_loss [0.5298], D/fr_loss [0.1137], D/d_loss [1.6013], D/rr_loss [0.9578], G/g_loss [2.6696]
Elapsed [0:03:48], Iter [1560/83400], Epoch [11/600], Dataset [1984/8855], D/rw_loss [0.6176], D/fr_loss [0.1932], D/d_loss [1.6350], D/rr_loss [0.8242], G/g_loss [2.6015]
Elapsed [0:03:51], Iter [1580/83400], Epoch [11/600], Dataset [3264/8855], D/rw_loss [0.4465], D/fr_loss [0.1331], D/d_loss [1.6437], D/rr_loss [1.0641], G/g_loss [2.3916]
Elapsed [0:03:54], Iter [1600/83400], Epoch [11/600], Dataset [4544/8855], D/rw_loss [0.6657], D/fr_loss [0.2148], D/d_loss [1.6654], D/rr_loss [0.7849], G/g_loss [2.9503]
Elapsed [0:03:57], Iter [1620/83400], Epoch [11/600], Dataset [5824/8855], D/rw_loss [0.5346], D/fr_loss [0.1727], D/d_loss [1.6555], D/rr_loss [0.9483], G/g_loss [2.4502]
Elapsed [0:04:00], Iter [1640/83400], Epoch [11/600], Dataset [7104/8855], D/rw_loss [0.4972], D/fr_loss [0.2262], D/d_loss [1.7756], D/rr_loss [1.0522], G/g_loss [2.5452]
Elapsed [0:04:03], Iter [1660/83400], Epoch [11/600], Dataset [8384/8855], D/rw_loss [0.6730], D/fr_loss [0.2149], D/d_loss [1.6486], D/rr_loss [0.7607], G/g_loss [3.1701]
Elapsed [0:04:06], Iter [1680/83400], Epoch [12/600], Dataset [768/8855], D/rw_loss [0.6927], D/fr_loss [0.2021], D/d_loss [1.6439], D/rr_loss [0.7491], G/g_loss [2.9878]
Elapsed [0:04:09], Iter [1700/83400], Epoch [12/600], Dataset [2048/8855], D/rw_loss [0.6086], D/fr_loss [0.1449], D/d_loss [1.5940], D/rr_loss [0.8405], G/g_loss [2.9364]
Elapsed [0:04:12], Iter [1720/83400], Epoch [12/600], Dataset [3328/8855], D/rw_loss [0.3850], D/fr_loss [0.0927], D/d_loss [1.6904], D/rr_loss [1.2127], G/g_loss [2.2165]
